Variant,Avg_Mean,Avg_Std,Avg_Rank
no_mutation,5.755953564610982,0.008314788735521453,1.0
no_sync,15.932892376647246,13.529219360865273,2.6
SOCIAL_full,17.709922894579627,18.48996913654651,3.8
uniform_neighbors,16.180947724640735,16.037016156156398,4.2
no_elite,17.709922894579627,18.48996913654651,4.8
fixed_weights,17.709922894579627,18.48996913654651,5.8
no_rewiring,18.90559858888017,17.354322353656364,5.8
