Function,K,p,Mean,Std,Best
Sphere,2,0.0,6.061384053990865e-05,2.976232880949921e-05,2.6876270853230274e-05
Sphere,2,0.1,7.562688545927467e-05,3.1772371423011976e-05,3.683525353164818e-05
Sphere,2,0.3,0.0001599242133285786,9.118995444711597e-05,3.163949037505978e-05
Sphere,2,0.5,0.00025793726793715745,0.00010963724778264673,0.00013077063287160172
Sphere,2,0.8,0.00031049466973850654,0.00016629534075108792,0.00014118494456056817
Sphere,4,0.0,8.220999342652779e-05,4.2997366841365995e-05,3.613598657886066e-06
Sphere,4,0.1,0.0001206223847404076,3.614993573144751e-05,7.00054874591747e-05
Sphere,4,0.3,0.00010052390464094097,3.737442420824139e-05,5.2435421753766156e-05
Sphere,4,0.5,0.0001404981775822573,3.7780609053890764e-05,8.639933878040653e-05
Sphere,4,0.8,0.0001729547814328663,9.477755553369963e-05,4.927742859552856e-05
Sphere,6,0.0,0.00027118897784445776,0.0001043459224637891,0.00011142572225860347
Sphere,6,0.1,0.0002500620442496888,8.787181471761107e-05,0.00011088905576044428
Sphere,6,0.3,0.0002522438730904089,0.0001229084322406419,0.00010334917187104072
Sphere,6,0.5,0.00025683965550463205,7.115002863118696e-05,0.00013778078832357997
Sphere,6,0.8,0.00028634760415708883,0.00010123427422970886,7.650444083837208e-05
Sphere,8,0.0,0.0003366656604860842,0.00018768238553811247,0.00011870338759996533
Sphere,8,0.1,0.0004352101456273143,0.00011076404561907529,0.0002853883671980053
Sphere,8,0.3,0.00036918601571297153,0.00012200479079356805,0.00021869397678068927
Sphere,8,0.5,0.0003543901736478418,0.00017452655371518285,9.397469952797819e-07
Sphere,8,0.8,0.00043035469088195015,0.00012000811595243196,0.0002889280545557635
Sphere,10,0.0,0.00041490831524820663,0.00011491368165807051,0.0001844112238567691
Sphere,10,0.1,0.0005359217444878703,0.00013315552622614258,0.00029634684364360616
Sphere,10,0.3,0.0004896129260618472,0.0002874221223499033,0.0002693391505921654
Sphere,10,0.5,0.0005800962162036931,0.0002353345393208203,0.0002944222993283308
Sphere,10,0.8,0.0005166589256641612,0.00018505263777892906,0.00014668299768070845
Rastrigin,2,0.0,15.322431133981576,6.939061534913621,8.954693109174855
Rastrigin,2,0.1,18.307338829320834,6.435790851358912,9.949702440871647
