Function,Algorithm,Best,Mean,Std,Worst,NumRuns
Schwefel_2_26,SOCIAL,-21250.02498817986,-19485.436008386525,1057.9840207492596,-16550.34083548798,30
Schwefel_2_26,DE,-23925.013735355642,-22696.033054459887,612.7046121982742,-21449.18053097944,30
Schwefel_2_26,PSO,-22764.11693339074,-21736.937533784076,731.5970389840681,-19841.543293462877,30
Schwefel_2_26,GWO,-20213.50473727465,-18224.78739781185,744.0613064394673,-16905.749847848223,30
Goldstein-Price,SOCIAL,3.000000000023904,3.0000000004544733,3.503243297247581e-10,3.000000001386487,30
Goldstein-Price,DE,2.9999999999999183,2.9999999999999196,1.8453318330869476e-15,2.999999999999922,30
Goldstein-Price,PSO,2.999999999999922,2.9999999999999205,1.3663714022999243e-15,2.9999999999999223,30
Goldstein-Price,GWO,3.000000000071901,3.0000002276672073,2.822259011261105e-07,3.000001303380934,30
