Centrality,Avg_Mean,Avg_Rank,Avg_Centrality_Time
degree,18.930664242842813,2.2,3.609670678467627e-06
closeness,19.92455644894909,2.4,0.00019682783264777614
pagerank,20.40385973177898,3.0,0.00018922009726973503
eigenvector,18.314908966417086,3.4,0.0007022612545039707
betweenness,17.709922894579627,4.0,0.0008131707487251357
