Iteration,Position
0,-9.290800072677627
1,20.426548530562
2,-16.62987202287556
3,-15.999921671941438
4,-14.380027128022578
5,-15.675127233842865
6,-18.53699504775871
7,-16.770333586096285
8,-18.23471727114274
9,-16.1372892882287
10,-17.447005605178653
11,-15.500610139299102
12,-16.24532623171093
13,-14.889898724109447
14,-15.154661614357622
15,-9.624662808256556
16,-15.040424316027753
17,-11.855715587462287
18,-14.48536848344576
19,-12.244870430728417
20,-13.745707230561566
21,-11.063926532291326
22,-6.687340265596423
23,-11.782489398748206
24,-13.126129593376486
25,-12.22802504549687
26,-11.23925987122094
27,-10.601642570995784
28,-10.489837589083415
29,-9.692304946238607
30,-11.234059772679297
31,-10.225432995524923
32,-9.963642229717228
33,-9.232049696510025
34,-9.349743077986275
35,-8.46237297058057
36,-8.720140627570519
37,-8.012680689147787
38,-8.172426686994363
39,-7.631780001783422
40,-7.657952666452813
41,-7.3125835851396
42,-7.308989651436547
43,-7.0402207411703825
44,-7.0838537368163825
45,-7.18406862617398
46,-6.88886655974092
47,-6.823889101909231
48,-6.580013770921092
49,-6.512107507473414
50,-6.346763077085766
51,-6.239827545332811
52,-6.069519937521
53,-5.958774288033335
54,-5.827496508083262
55,-5.782277785523879
56,-5.566304595158162
57,-5.205376765125288
58,-5.895109025212979
59,-3.1451750569773367
60,-5.17945575653919
61,-3.9477647647193854
62,-4.876251442114638
63,-4.424243663218734
64,-4.614798849103321
65,-4.513727417031549
66,-4.606564467127053
67,-4.550727851013057
68,-6.046065907129603
69,-4.538749330783275
70,-5.304194670479671
71,-5.1518490243540676
72,-5.169306464637255
73,-4.999519095970918
74,-5.645330839710977
75,-4.960301857173992
76,-5.712057787021004
77,-4.52656743515755
78,-3.0151611061745935
79,-5.120619401750088
80,-4.600348918490169
81,-5.365519195868211
82,-4.989295096579959
83,-5.2928790926178095
84,-5.318896105068337
85,-4.347902999783915
86,-5.178883311675578
87,-4.475827821837201
88,-5.068392465232666
89,-1.581793575666338
90,-5.285550393943398
91,-3.8424401653381985
92,-4.877188826202684
93,-4.35518473244001
94,-4.57350351230431
95,-4.497920836229038
96,-6.538775997228631
97,-5.175721698803735
98,-5.428443057071754
99,-5.137480274503309
100,-5.4040092006343
101,-5.049635437151079
102,-5.221714817495368
103,-5.065008816858402
104,-6.046967704991139
105,-6.975513767048809
106,-6.314338733700388
107,-5.810745293026657
108,-5.924875095001092
109,-5.051853603948103
110,-5.613789285703195
111,-5.211323001453097
112,-4.997190519005227
113,-4.803158197525136
114,-5.482032270401934
115,-5.104599920398403
116,-3.900584854792149
117,-4.976424911969856
118,-4.458801916634112
119,-4.867840795682812
120,-4.6881119791929855
121,-3.2203004190185665
122,-4.639368520980473
123,-3.1534327884582747
124,-4.296745250031043
125,-3.9260108693371607
126,-4.458702366264827
127,-2.404926406529384
128,-3.772858707356233
129,-2.4858990644424774
130,-3.6887323095370297
131,-2.956852954424946
132,-3.35425425975122
133,-3.4307139424521713
134,-3.6507582695433585
135,-2.8072974425993675
136,-3.7446754849060486
137,-4.5761676652389855
138,-2.9413669195605476
139,-4.3589299370962955
140,-3.6646395621453456
141,-4.227314325965802
142,-5.660110919961773
143,-5.06693964625164
144,-5.227139634311445
145,-5.156136679012222
146,-3.116366003703786
147,-4.186082916467351
148,-4.455568091700907
149,-4.55776854077705
150,0.3165189119888714
151,-4.862210020063229
152,-3.6446543035636907
153,-4.537709031537649
154,-4.333421245596378
155,-4.618176990321715
156,-4.638825934630538
157,-4.7342810232575525
158,-4.773550977658753
159,-4.828102621365177
160,-4.861359183488474
161,-4.91012115190868
162,-4.931433325710862
163,-4.961943892271501
164,-4.952738650479211
165,-4.999709938380948
166,-5.004104366449114
167,-5.030723795419215
168,-5.04768500653892
169,-5.0569989599027165
170,-5.056215499892353
171,-5.0680460778290755
172,-5.071587291724655
173,-5.056933825702056
174,-5.059106132759196
175,-5.069187390063404
176,-5.06025466389317
177,-5.056987017561758
178,-5.0038562281648815
179,-4.896697908375449
180,-5.019916153579367
181,-5.070423130579889
182,-5.026586117379545
183,-5.014371961859461
184,-5.068813075687958
185,-5.00997100625454
186,-5.0100934462106075
187,-5.017374174780781
188,-5.005376193672681
189,-4.980719993106766
190,-4.984540454420409
191,-4.9786979583730195
192,-4.936284616343597
193,-4.527751650246318
194,-4.527751650246318
195,-4.527751650246318
196,-4.527751650246318
197,-4.527751650246318
198,-4.527751650246318
199,-4.527751650246318
200,-4.527751650246318
201,-2.8859095686493474
202,-2.8859095686493474
203,-2.8859095686493474
204,-2.8859095686493474
205,-2.8859095686493474
206,-2.8859095686493474
207,-2.8859095686493474
208,-2.8859095686493474
209,-2.8859095686493474
210,-2.8859095686493474
211,-2.8859095686493474
212,-2.8859095686493474
213,-2.8859095686493474
214,-2.8859095686493474
215,-2.8859095686493474
216,-2.8859095686493474
217,-2.8859095686493474
218,-2.8859095686493474
219,-2.8859095686493474
220,-2.8859095686493474
221,-2.8859095686493474
222,-2.8859095686493474
223,-2.8859095686493474
224,-2.8859095686493474
225,-2.8859095686493474
226,-7.326712378558619
227,-7.326712378558619
228,-7.326712378558619
229,-7.326712378558619
230,-7.326712378558619
231,-4.974067672784029
232,-4.974067672784029
233,-4.974067672784029
234,-4.974067672784029
235,-4.974067672784029
236,-4.974067672784029
237,-4.974067672784029
238,-4.974067672784029
239,-4.974067672784029
240,-4.974067672784029
241,-4.974067672784029
242,-4.974067672784029
243,-4.974067672784029
244,-4.974067672784029
245,-4.974067672784029
246,-4.974067672784029
247,-4.974067672784029
248,-4.974067672784029
249,-4.974067672784029
250,-0.3127427403125429
251,-8.440098578514096
252,-8.440098578514096
253,-8.440098578514096
254,-8.440098578514096
255,-8.440098578514096
256,-8.440098578514096
257,-8.440098578514096
258,-7.93461866717493
259,-7.93461866717493
260,-7.93461866717493
261,-7.93461866717493
262,-7.93461866717493
263,-7.93461866717493
264,-10.358701299659831
265,-10.358701299659831
266,-10.358701299659831
267,-5.765208276740253
268,-5.765208276740253
269,-5.765208276740253
270,-5.765208276740253
271,-5.765208276740253
272,-5.765208276740253
273,-5.765208276740253
274,-5.765208276740253
275,-5.765208276740253
276,-8.155722636049493
277,-8.155722636049493
278,-8.155722636049493
279,-8.155722636049493
280,-8.155722636049493
281,-8.155722636049493
282,-12.994801342631987
283,-12.994801342631987
284,-12.994801342631987
285,-12.994801342631987
286,-10.184519216613516
287,-11.101423642474693
288,-11.101423642474693
289,-11.101423642474693
290,-11.101423642474693
291,-11.101423642474693
292,-8.48704360752203
293,-8.48704360752203
294,-8.48704360752203
295,-8.48704360752203
296,-8.48704360752203
297,-8.48704360752203
298,-8.48704360752203
299,-7.383362138097686
300,-5.471839425266355
301,-8.494433006293688
302,-4.615846656187774
303,-4.615846656187774
304,-4.615846656187774
305,-4.615846656187774
306,-4.816343256399115
307,-4.816343256399115
308,-2.8260337570845797
309,-6.989276341560989
310,-2.9416088578396007
311,-2.9416088578396007
312,-2.9416088578396007
313,-2.9416088578396007
314,-2.9416088578396007
315,-2.9416088578396007
316,-2.9416088578396007
317,-2.9416088578396007
318,-1.6656210549696109
319,0.9053930172282119
320,0.9053930172282119
321,0.8807720911982448
322,0.8807720911982448
323,6.414176858003514
324,6.414176858003514
325,6.414176858003514
326,3.360453180506636
327,3.360453180506636
328,3.360453180506636
329,3.360453180506636
330,-1.668856036015974
331,1.4552091810993653
332,1.4552091810993653
333,1.4552091810993653
334,1.4552091810993653
335,1.4552091810993653
336,1.4552091810993653
337,1.4552091810993653
338,1.4552091810993653
339,1.4552091810993653
340,5.388494315506197
341,5.388494315506197
342,5.388494315506197
343,5.388494315506197
344,2.423604850042949
345,2.423604850042949
346,2.423604850042949
347,2.423604850042949
348,2.423604850042949
349,2.423604850042949
350,2.423604850042949
351,-2.781962259061373
352,-2.781962259061373
353,-2.781962259061373
354,-2.781962259061373
355,-2.781962259061373
356,-2.781962259061373
357,-2.781962259061373
358,-3.143416582902487
359,-3.143416582902487
360,-3.143416582902487
361,-3.143416582902487
362,-3.143416582902487
363,-6.27259433792652
364,-5.5771780172565215
365,-5.5771780172565215
366,-5.5771780172565215
367,-1.258740217951316
368,-1.258740217951316
369,-1.258740217951316
370,-1.5432179145411409
371,-7.132368566632983
372,-3.644361302375324
373,-3.644361302375324
374,-3.644361302375324
375,-3.644361302375324
376,-3.2758242267277002
377,-3.2758242267277002
378,-3.2758242267277002
379,-3.2758242267277002
380,-3.2758242267277002
381,-3.2758242267277002
382,-3.2758242267277002
383,-3.2758242267277002
384,-3.2758242267277002
385,-3.2758242267277002
386,-3.2758242267277002
387,-3.2758242267277002
388,-3.2758242267277002
389,-3.2758242267277002
390,-3.2758242267277002
391,-3.2758242267277002
392,-3.2758242267277002
393,-3.2758242267277002
394,-3.2758242267277002
395,-3.2758242267277002
396,-3.2758242267277002
397,-3.2758242267277002
398,-3.2758242267277002
399,-3.2758242267277002
400,-3.2758242267277002
401,-6.38830453919075
402,-6.38830453919075
403,-6.38830453919075
404,-6.38830453919075
405,-6.38830453919075
406,-6.38830453919075
407,-6.38830453919075
408,-6.38830453919075
409,-6.38830453919075
410,-6.38830453919075
411,-6.38830453919075
412,-6.38830453919075
413,-6.38830453919075
414,-6.38830453919075
415,-6.38830453919075
416,-6.38830453919075
417,-6.38830453919075
418,-6.38830453919075
419,-6.38830453919075
420,-6.38830453919075
421,-6.38830453919075
422,-6.38830453919075
423,-6.38830453919075
424,-6.38830453919075
425,-6.38830453919075
426,-7.906559627338594
427,-7.906559627338594
428,-12.459874069689333
429,-12.459874069689333
430,-12.459874069689333
431,-12.459874069689333
432,-12.459874069689333
433,-12.459874069689333
434,-14.74017938802258
435,-14.74017938802258
436,-14.74017938802258
437,-14.74017938802258
438,-9.8362961160324
439,-9.8362961160324
440,-9.8362961160324
441,-4.838952085232201
442,-4.838952085232201
443,-4.838952085232201
444,-4.838952085232201
445,-4.838952085232201
446,-4.838952085232201
447,-1.4656684765741295
448,2.492864768156977
449,2.492864768156977
450,2.492864768156977
451,-2.9712724361320486
452,-2.9712724361320486
453,-2.9712724361320486
454,-2.9712724361320486
455,-2.9712724361320486
456,-2.9712724361320486
457,-2.9712724361320486
458,-2.9712724361320486
459,-2.9712724361320486
460,-2.9712724361320486
461,-2.9712724361320486
