Iteration,Best_Fitness
0,-1.0028946064763735
1,-3.9538471690334607
2,-3.784665855923539
3,-4.383922386123441
4,-5.936971856244033
5,-5.146940351586204
6,-9.099618997319968
7,-9.373811280395646
8,-9.539809093433405
9,-10.270776045799531
10,-10.257743283978657
11,-10.280646001357608
12,-10.364745102992488
13,-10.245014514826511
14,-10.371912503565536
15,-10.354337727562614
16,-10.37627325417328
17,-10.379382824535739
18,-10.372588223232054
19,-10.362380059718415
20,-10.375765688638545
21,-10.382011239758409
22,-10.373962114880067
23,-10.380202591170606
24,-10.385870564466204
25,-10.372825869232924
26,-10.381246862932732
27,-10.357969302277848
28,-10.373954598169423
29,-10.332482620514924
30,-10.3774980097295
31,-10.372516010858922
32,-10.384710142779799
33,-10.37948852739656
34,-10.37687643674429
35,-10.372151516689557
36,-10.37294081241188
37,-10.374086565493629
38,-10.389683349957998
39,-10.382223960963417
40,-10.367654583245528
41,-10.376747721125785
42,-10.382510052270353
43,-10.383380322038404
44,-10.354828329333639
45,-10.375624023911218
46,-10.383039502775603
47,-10.383039502775603
48,-10.383125159654483
49,-10.388949263056158
50,-10.388422067786763
51,-10.388407220969672
52,-10.381846973414692
53,-10.36350179387613
54,-10.388952382629585
55,-10.374890179555447
56,-10.389950001844669
57,-10.38909221156365
58,-10.371485999806039
59,-10.383631941387328
60,-10.384373811431495
61,-10.386632994120957
62,-10.38961155103939
63,-10.38961155103939
64,-10.388477162477173
65,-10.386200611416053
66,-10.388022021359063
67,-10.389828879167096
68,-10.389840573945829
69,-10.389840573945829
70,-10.389488594085268
71,-10.388857065491312
72,-10.388445306672196
73,-10.387871472404562
74,-10.389938424476687
75,-10.390141547105276
76,-10.388809104031154
77,-10.388809104031154
78,-10.375502591975685
79,-10.377223464311653
80,-10.383768558951937
81,-10.374979050758153
82,-10.383393292203454
83,-10.390715399708315
84,-10.386184125173578
85,-10.389318127025241
86,-10.390780811446806
87,-10.38992611322477
88,-10.388509069558044
89,-10.390216970078056
90,-10.390657116925071
91,-10.389623908253387
92,-10.39036647993555
93,-10.38857418058975
94,-10.389591019798768
95,-10.390403175562543
96,-10.387910689915483
97,-10.390044937205076
98,-10.39044376105655
99,-10.389865617503764
100,-10.390499291900756
101,-10.39058469226052
102,-10.39058469226052
103,-10.369212609667613
104,-10.373869100598391
105,-10.389967117703012
106,-10.386360883897328
107,-10.387194572045884
108,-10.388262115115088
109,-10.39058127659043
110,-10.390908922752772
111,-10.390784792627798
112,-10.390762029099648
113,-10.387965687150917
114,-10.388892857434222
115,-10.384548995998857
116,-10.3906449251912
117,-10.389881467213154
118,-10.390735274292465
119,-10.390014045591585
120,-10.390961303210531
121,-10.390621982417132
122,-10.390963544575042
123,-10.390963544575042
124,-10.385833039563883
125,-10.38930791733256
126,-10.390156796293455
127,-10.38983829615066
128,-10.386609727046498
129,-10.387325379020606
130,-10.390495839518584
131,-10.390495839518584
132,-10.388015597831606
133,-10.389531960159324
134,-10.388976696611735
135,-10.390361384125768
136,-10.390994788573197
137,-10.390398339196695
138,-10.390519228074254
139,-10.3906096483663
140,-10.390928810718698
141,-10.39101434774583
142,-10.39101434774583
143,-10.39086291207057
144,-10.390522268427498
145,-10.390866295246898
146,-10.390471401632135
147,-10.390981789617822
148,-10.39090730518395
149,-10.390958936017912
150,-10.391015239089251
151,-10.39101962375659
152,-10.391015261585785
153,-10.390820561885404
154,-10.389626548750938
155,-10.388714202082031
156,-10.386770852879595
157,-10.389607607866012
158,-10.389866766167621
159,-10.390379042209558
160,-10.390749369325077
161,-10.390671957992891
162,-10.390966994526211
163,-10.39032293441213
164,-10.39028793255719
165,-10.389232945681535
166,-10.38986803296352
167,-10.390719770868897
168,-10.389677201777392
169,-10.39006067203713
170,-10.390037053639922
171,-10.390622969804959
172,-10.390521479956131
173,-10.390902410731814
174,-10.390930127734794
175,-10.39058344517607
176,-10.390798551199222
