Function 1,Function 2,Statistic,p-value,Significant (p<0.05)
Ackley,Shekel1,5.410017808004594,6.301848221392269e-08,True
Ackley,Shekel2,5.410017808004594,6.301848221392269e-08,True
Ackley,Shekel3,5.410017808004594,6.301848221392269e-08,True
Ackley,Shekel4,5.410017808004594,6.301848221392269e-08,True
Griewank,Penalized,-4.869016027204134,1.121553120831729e-06,True
Griewank,Penalized2,0.7303524040806201,0.4651748036184682,False
Griewank,Foxholes,-5.410017808004594,6.301848221392269e-08,True
Griewank,Kowalik,5.410017808004594,6.301848221392269e-08,True
Griewank,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Griewank,Branin,-5.410017808004594,6.301848221392269e-08,True
Griewank,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Griewank,Hartman,5.410017808004594,6.301848221392269e-08,True
Griewank,Shekel1,5.410017808004594,6.301848221392269e-08,True
Griewank,Shekel2,5.410017808004594,6.301848221392269e-08,True
Griewank,Shekel3,5.410017808004594,6.301848221392269e-08,True
Griewank,Shekel4,5.410017808004594,6.301848221392269e-08,True
Penalized,Penalized2,4.869016027204134,1.121553120831729e-06,True
Penalized,Foxholes,2.705008904002297,0.00683025586304408,True
Penalized,Kowalik,4.869016027204134,1.121553120831729e-06,True
Penalized,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Penalized,Branin,2.705008904002297,0.00683025586304408,True
Penalized,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Penalized,Hartman,5.410017808004594,6.301848221392269e-08,True
Penalized,Shekel1,5.410017808004594,6.301848221392269e-08,True
Penalized,Shekel2,5.410017808004594,6.301848221392269e-08,True
Penalized,Shekel3,5.410017808004594,6.301848221392269e-08,True
Penalized,Shekel4,5.410017808004594,6.301848221392269e-08,True
Penalized2,Foxholes,-5.410017808004594,6.301848221392269e-08,True
Penalized2,Kowalik,4.19276380120356,2.75576331793978e-05,True
Penalized2,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Penalized2,Branin,-5.410017808004594,6.301848221392269e-08,True
Penalized2,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Penalized2,Hartman,5.410017808004594,6.301848221392269e-08,True
Penalized2,Shekel1,5.410017808004594,6.301848221392269e-08,True
Penalized2,Shekel2,5.410017808004594,6.301848221392269e-08,True
Penalized2,Shekel3,5.410017808004594,6.301848221392269e-08,True
Penalized2,Shekel4,5.410017808004594,6.301848221392269e-08,True
Foxholes,Kowalik,5.410017808004594,6.301848221392269e-08,True
Foxholes,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Foxholes,Branin,5.410017808004594,6.301848221392269e-08,True
Foxholes,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Foxholes,Hartman,5.410017808004594,6.301848221392269e-08,True
Foxholes,Shekel1,5.410017808004594,6.301848221392269e-08,True
Foxholes,Shekel2,5.410017808004594,6.301848221392269e-08,True
Foxholes,Shekel3,5.410017808004594,6.301848221392269e-08,True
Foxholes,Shekel4,5.410017808004594,6.301848221392269e-08,True
Kowalik,Camel-Back,5.410017808004594,6.301848221392269e-08,True
Kowalik,Branin,-5.410017808004594,6.301848221392269e-08,True
Kowalik,Goldstein-Price,5.410017808004594,6.301848221392269e-08,True
Kowalik,Hartman,5.410017808004594,6.301848221392269e-08,True
Kowalik,Shekel1,5.410017808004594,6.301848221392269e-08,True
Kowalik,Shekel2,5.410017808004594,6.301848221392269e-08,True
