Iteration,Best_Fitness
0,-164004.07691987924
1,-164004.07691987924
2,-164004.07691987924
3,-182313.3492038324
4,-182335.50280707804
5,-182376.5718971254
6,-182376.5718971254
7,-182376.77363030394
8,-182376.77363030394
9,-182376.77363030394
10,-182376.77363030394
11,-182376.77363030394
12,-342254.89971308364
13,-342254.89971308364
14,-342254.89971308364
15,-342254.89971308364
16,-342254.89971308364
17,-342254.89971308364
18,-342254.89971308364
19,-342254.89971308364
20,-342254.89971308364
21,-342254.89971308364
22,-648433.1051645549
23,-648433.1051645549
24,-648433.1051645549
25,-648433.1051645549
26,-648433.1051645549
27,-648433.1051645549
28,-648433.1051645549
29,-648433.1051645549
30,-648433.1051645549
31,-648433.1051645549
32,-648433.1051645549
33,-648433.1051645549
34,-648433.1051645549
35,-648433.1051645549
36,-648433.1051645549
37,-648433.1051645549
38,-648433.1051645549
39,-648433.1051645549
40,-648433.1051645549
41,-648433.1051645549
42,-648433.1051645549
43,-648433.1051645549
44,-648433.1051645549
45,-648433.1051645549
46,-648433.1051645549
47,-648433.1051645549
48,-648433.1051645549
49,-648433.1051645549
50,-648433.1051645549
51,-648433.1051645549
52,-765403.8267380414
53,-765403.8267380414
54,-765403.8267380414
55,-765403.8267380414
56,-765403.8267380414
57,-765403.8267380414
58,-765403.8267380414
59,-765403.8267380414
60,-765403.8267380414
61,-765403.8267380414
62,-765403.8267380414
63,-765403.8267380414
64,-765403.8267380414
65,-765403.8267380414
66,-765403.8267380414
67,-765403.8267380414
68,-765403.8267380414
69,-765403.8267380414
70,-765403.8267380414
71,-765403.8267380414
72,-995327.608557632
73,-995327.608557632
74,-995327.608557632
75,-995327.608557632
76,-995327.608557632
77,-995327.608557632
78,-995327.608557632
79,-995327.608557632
80,-995327.608557632
81,-995327.608557632
82,-995327.608557632
83,-995327.608557632
84,-995327.608557632
85,-995327.608557632
86,-995327.608557632
87,-995327.608557632
88,-995327.608557632
89,-995327.608557632
90,-995327.608557632
91,-995327.608557632
92,-1142686.1382195817
93,-1142686.1382195817
94,-1142686.1382195817
95,-1142686.1382195817
96,-1142686.1382195817
97,-1142686.1382195817
98,-1142686.1382195817
99,-1142686.1382195817
100,-1142686.1382195817
101,-1142686.1382195817
102,-1142686.1382195817
103,-1142686.1382195817
104,-1142686.1382195817
105,-1142686.1382195817
106,-1142686.1382195817
107,-1142686.1382195817
108,-1142686.1382195817
109,-1142686.1382195817
110,-1142686.1382195817
111,-1142686.1382195817
112,-1142686.1382195817
113,-1142686.1382195817
114,-1142686.1382195817
115,-1142686.1382195817
116,-1142686.1382195817
117,-1142686.1382195817
118,-1142686.1382195817
119,-1142686.1382195817
120,-1142686.1382195817
121,-1142686.1382195817
122,-1142686.1382195817
123,-1142686.1382195817
124,-1142686.1382195817
125,-1142686.1382195817
126,-1142686.1382195817
127,-1142686.1382195817
128,-1142686.1382195817
129,-1142686.1382195817
130,-1142686.1382195817
131,-1142686.1382195817
132,-1160239.271074405
133,-1160239.271074405
134,-1160239.271074405
135,-1160239.271074405
136,-1160239.271074405
137,-1160239.271074405
138,-1160239.271074405
139,-1160239.271074405
140,-1160239.271074405
141,-1160239.271074405
142,-1160239.271074405
143,-1160239.271074405
144,-1160239.271074405
145,-1160239.271074405
146,-1160239.271074405
147,-1160239.271074405
148,-1160239.271074405
149,-1160239.271074405
150,-1160239.271074405
151,-1160239.271074405
152,-1160239.271074405
153,-1160239.271074405
154,-1160239.271074405
155,-1160239.271074405
156,-1160239.271074405
157,-1160239.271074405
158,-1160239.271074405
159,-1160239.271074405
160,-1160239.271074405
161,-1160239.271074405
162,-1160338.5071441084
163,-1160338.5071441084
164,-1160338.5071441084
165,-1160338.5071441084
166,-1160338.5071441084
167,-1160338.5071441084
168,-1160338.5071441084
169,-1160338.5071441084
170,-1160338.5071441084
171,-1160338.5071441084
172,-1160338.5071441084
173,-1160338.5071441084
174,-1160338.5071441084
175,-1160338.5071441084
176,-1160338.5071441084
177,-1160338.5071441084
178,-1160338.5071441084
179,-1160338.5071441084
180,-1160338.5071441084
181,-1160338.5071441084
182,-1160338.5071441084
183,-1160338.5071441084
184,-1160338.5071441084
185,-1160338.5071441084
186,-1160338.5071441084
187,-1160338.5071441084
188,-1160338.5071441084
189,-1160338.5071441084
190,-1160338.5071441084
191,-1160338.5071441084
192,-1160338.5071441084
193,-1160338.5071441084
194,-1160338.5071441084
195,-1160338.5071441084
196,-1160338.5071441084
197,-1160338.5071441084
198,-1160338.5071441084
199,-1160338.5071441084
200,-1160338.5071441084
201,-1160338.5071441084
202,-1160338.5071441084
203,-1160338.5071441084
204,-1160338.5071441084
205,-1160338.5071441084
206,-1160338.5071441084
